text,true_label,predicted_label
组图：美女上演裸身切割呼吁保护动物,6,娱乐
新东方拒绝信用卡缴费 多位家长表示不满,0,科技
妖风来袭 传梦回山海欲出神秘新职业,8,科技
台积电26岁女工跳楼身亡,4,社会
中央财政下拨248亿元汶川震后重建基金,6,股票
4300整数关口失守 期钢拉开调整序幕,0,股票
温家宝：巩固扩大房地产市场调控成效,6,房产
英国男子在听证会上袭击默多克被判入狱6周,6,社会
专家测算平均调整幅度不大,0,科技
Baird调升A.O.史密斯目标价及财测,2,科技
极游网首发“水果忍者中国版”,8,科技
烽火通信：分享PTN盛宴,2,科技
学历门之后又有抽身门  唐骏抛股闪人,8,股票
九龙仓斩获杭州单价新地王,2,房产
江苏高考生用文言文写作文 专家称自己不全懂,5,教育
文件称希特勒进餐时吃相难看行为粗鲁,6,科技
第15次不结盟运动首脑会议闭幕,6,社会
大都会人寿正在为酒店行业提供融资,2,时政
人人公司推迟公布IPO定价,4,财经
长腿MM阵2010showgirl 依旧美丽,8,科技
英法对派兵利比亚说法不一 利反对派领导人访意,6,体育
易晓明：下半年A股市场会处于底部震荡,0,股票
悠嘻猴联手上海银行信用卡俏皮上市,8,科技
韩国1名富翁公开招婿400余人报名,5,教育
无线反击行动古巨基渔翁得利 势要连庄男歌星奖,9,财经
高尔夫球场“贵族”标签下的尴尬,7,教育
微软收取Vista降级费遭用户起诉,4,游戏
《真三国无双6》胸上广告放出 走国际潮流,8,娱乐
北京二手公寓被抛真相：租金缩水六成,1,教育
少女戒网瘾校坠楼亡 该校曾打死学生,8,社会
中信证券关于挂牌转让华夏基金股权进展公告,0,股票
组图：美国摄影师拍摄金门大桥雷暴照片,6,娱乐
贵研铂业(600459)：小盘铂贵+军工+重组,2,房产
散户股民阿花的飞来横财梦：搭车新股川润股份,0,股票
天然橡胶：七年一梦 牛去熊来,0,股票
大学新生入校第一课扫厕所 高校称吃苦要上档次,5,教育
大变局大应对第五届中国地产金融年会(组图),1,时政
分食黑嘴汪建中,2,科技
中邮东山再起狂奔超22% 2009是英雄的年份,0,科技
13岁少年沿高速路步行一天一夜找妈妈,5,教育
8秒快启平台 Splashtop巨奖征集中文名,4,游戏
《卧底将军》用好莱坞营销模式 抢占谍战剧高点,9,游戏
长实人民币REIT冲刺 最快明天递交上市申请,2,财经
小室哲哉被捕 安室地球乐团等人著作权被滥用,9,房产
F1股份重组分散风险集纳智慧 伯尼将成最大受益人,7,财经
华润置地09年纯利增长1.2倍,2,房产
网游分级标准重点在于内容和年龄,8,科技
董浩专注儿童主持 已推掉9个亿广告,9,科技
粮农组织与欧盟合作援助津巴布韦农业,6,科技
《魔兽世界》例行维护停服约10小时,4,游戏
通州德比户型大PK 珠江拉维小镇vs京贸国际城,1,体育
重庆拟推精装公寓,1,科技
映美发盈警 料08年大幅亏损,2,科技
姚晨承认有新欢 网友态度大逆转,9,科技
东风冀销量增长优于同业,2,房产
民调显示野田内阁支持率跌至40%左右,6,股票
第六届中国-东盟博览会下月在广西举办,6,房产
李宁恩师将赴韩国执教 将担任韩国体操女队教练,7,娱乐
商户将质监局告上法庭：放7台组装电脑被罚7万,4,社会
福建出新规父母可在有合法住所成年子女处落户,1,社会
独立游戏手柄+YAMAHA功放 Spice X1登场,8,科技
巨头NVIDIA 确定成为CGDC钻石赞助商,8,科技
塞尔维亚与科索沃首次达成协议,6,科技
日本计划编织大网打捞太空垃圾,6,科技
日本6月底橡胶库存为3176吨 一直呈下滑趋势,0,时政
风雨历程 痴心不改炒股路,2,财经
美国内华达州神秘地区60年间坠机2000架,4,时政
雨润食品早盘劲升 获基金增持近2千万股,2,财经
北京晚报：在线活动“实名”化,4,教育
虚拟货币征税面临法律难题,8,财经
台湾男子在陈水扁造势会上呛声遭围殴(组图),6,社会
油价普涨与中石油购房门 石化板块今天悬了,1,股票
美国第三季度个人消费支出终值为2.8%,2,科技
假日办发布第6号旅游通报出游高峰顺利度过,6,科技
谷物崛起 期市突现冰火共存,0,科技
两高出台司法解释打击危害计算机信息系统犯罪,6,科技
葛兰素史克起诉罗氏及旗下基因泰克胃癌药侵权,2,财经
婴儿乘客耳朵滴血 赴京航班临时备降重庆,5,科技
收评：董事长辞世重创股价 万昌科技再跌5.56%,2,科技
TVB陈志云贪污案全部罪名被推翻 开审前已复职,2,体育
中钢协敦促钢企减产去库存,0,股票
深圳中青宝网创业板IPO申请今日通过,8,科技
黑岩正式关闭原员工成立社交手游公司,8,科技
日本强震保险损失350亿美元,0,时政
A50中国再考验250天线 留意A中Call21760,2,教育
酷龙成员具俊烨被疑与吸毒案有关 开发布会澄清,9,社会
一岸享三湾万千奢享共聚璀璨,1,科技
伊能静召开发布会 怒斥露点光盘侵犯名誉权,9,科技
王亚伟率众机构力挺 新股上三破二魔咒昨告破,0,股票
我国09年财政收入预计将超6.8万亿增长11.7%,6,科技
基础问题不容忽视 3G赚钱仍要有较长之路,4,财经
陕西省大型联谊会《春天你好》2月3日上演,9,游戏
网吧遭遇雷人提案 委员获近半支持,8,科技
破解短道 主三大谜团 上海世界杯成最后机会,7,科技
岩田聪：任天堂明年1月举行3DS体验会,8,科技
霍汶希畅谈英皇16年 称阿娇一步都不能走错(图),9,体育
国内六大神秘古寨之娜允古镇,1,科技
证监会员工遭遇举报门 被曝老鼠仓和骗购经适房,2,社会
网传镇政府晚宴花费13439元 包含干鲍龙虾,5,科技
美四起双反措施被裁定违规 商务部吁美尽快纠错,2,时政
伊朗决定为每位科学家配备专门卫队,6,教育
微软预计在今年售出500万套体感外设,8,科技
天天新报：伊能静控诉语言暴力说与媒体道义论,9,教育
质量是关键 五款高性能冰箱精选推荐,4,游戏
抛平安股票 神秘深圳私企年纳税13亿,2,科技
罗伯特-希勒：G20峰会怎样不重蹈大萧条覆辙,6,娱乐
复古之美：彭磊,9,股票
完美四季净利3970万美元环比下滑6%,8,股票
工行启动再融资第一步250亿可转债顺利过会,0,科技
韩国媒体称中国大亨在韩购58套度假屋,5,时政
美俄总统吃汉堡 顾客淡定围观(组图),3,时政
Capcom：生化危机没背离恐怖游戏的方向,8,科技
摄影师拍到牛群齐心击退黑熊一幕(组图),4,娱乐
一对多业绩分化 首尾相差23个百分点,0,股票
求伯君：农民首选娱乐将是影视和网游,4,游戏
袁伟民起立为男排鼓掌：要有老子天下第一劲头(图),7,娱乐
魔兽新资料片《大灾变》首日销量达330万份,4,游戏
工资跑不赢物价 老板发CPI补贴,0,科技
燕西华府即将成为世界金钥匙服务联盟会员,1,科技
评论：回到少年时代 回到郑钧的那一年,9,教育
2773亿元投资砸红通信板块,2,科技
卡车行驶中遇路面塌陷 坍塌处最深2米(图),5,娱乐
安监总局：安全生产2020年达中等发达国家水平,6,股票
劫匪猛砸防弹玻璃抢银行被堵在营业厅内抓获,5,财经
加息预期再起银行股有上扬空间,2,财经
胡歌与唐嫣现身北京大玩服装DIY(组图),9,科技
谋女郎魏敏芝美国蜕变 当导演懂英文交外国男友,9,体育
AMD任命前联想首席运营官罗瑞德为CEO,2,科技
魔兽账号售出 成交价格21888元！,8,股票
央票提准并行 资金面再度承压,2,财经
克里斯蒂娜-阿奎莱拉公开承认正在与男助理交往,9,体育
昆明市民呼吁建宠物殡仪馆,5,股票
财富杂志：甲骨文组建新“三人团”,4,教育
文化部计划推严肃网络游戏发展机制,8,科技
万华媒体委任林 昌为新行政总裁,2,房产
滕州湿地迎来大量“粉丝” 保护湿地人人有责,9,房产
潘基文连任后首次访韩 称韩应尽力满足各国期待,6,娱乐
美国奋进号航天飞机第四次推迟发射(图),6,科技
中学原校长截留择校费购房获缓刑,5,教育
《巴伦周刊》封面文章：如何在海外投资,2,游戏
冯天薇：以身为新加坡人而自豪 经三年最精彩岁月,7,娱乐
摊贩躲城管摔骨折状告索赔败诉,5,科技
中国移动娱乐群英会3G应用谱新章,8,科技
中国留美博士因与教授发生口角被控为恐怖分子,5,教育
众明星中小学作文曝光 李宇春“讨厌长大”(图),3,娱乐
新疆拉开大规模开发准噶尔盆地气海序幕,2,房产
NASA证实奋进号航天飞机发射后外壳遭损害,6,科技
世界唯一六胞胎姐妹全长成性感美女(图),5,娱乐
世茂股份拟非公开发行1.5亿A股,1,股票
“超女”要变“红歌会” 比赛晚上10点半后播出,9,体育
网瘾改叫“病理性上网” 网友提出质疑,8,科技
金九银十惨淡开局 中秋5盘入市恐难改低迷现状,1,财经
暮光三度笑傲金爆米花 MTV电影奖力压《哈7》,9,体育
寻找行业达人 三大汽车类专业及开设院校盘点,3,股票
光国苏州垃圾发电二期投入运营,2,科技
物业驳赵普：钱没乱花 开庭前一周贴收益公示,9,房产
马刺从NBDL签下后卫塞德里克-杰克逊,7,科技
少年发明家高考266分被破格录取(图),5,教育
市场吸引力不足 新增开户数陡降,0,科技
美国12名政府雇员合买彩票中2.07亿美元,5,时政
今年以来七成ST股票上涨 国祥等4只涨幅翻倍,2,财经
ChinaJoy展览今日在上海开幕,4,游戏
UBS将Kellogg评级升至“买进”,2,科技
报告HTC超苹果 成美国最大智能机厂商,8,科技
股市受正向刺激年前或有小行情,2,财经
团购行业“洗牌”已经提前开始,4,股票
快讯：商品普遍下挫 橡胶跌近2.5%,0,股票
盛大游戏《龙之谷》同时在线人数超70万,4,游戏
北斗卫星导航定位系统将再发射12颗卫星,4,时政
3100点以上看空做空,2,科技
金山软件5月25日发布第一季度财报,4,游戏
叶尚志：热钱流出缓解 站稳22900始有转机,2,娱乐
漫画书为伍兹立传 高尔夫巨星与政经界名人比肩,7,娱乐
羊慧明：楼市泡沫危机已超07年,1,股票
《建国大业》演员豪宅大曝光之黎明乐基儿,1,游戏
刘翔半裸展露胸肌引关注 紧握双拳为自己加油(图),7,娱乐
戴维－马什：最终肯定会有国家退出欧元区,2,科技
金价跌穿1000美元 可留意黄金认购10900,2,科技
南非世界杯“神算子”章鱼保罗逝世(图),3,娱乐
投资大师安东尼波顿：牛市处于起步阶段,2,教育
叶檀：混乱交易所成绞杀投资者利器,2,财经
跟住趋势是王道：顺者昌逆者亡 仓位时机灵活调,0,股票
美元怎么走：巴菲特迷茫罗杰斯看空,0,科技
前4月进口矿石多花857亿 钢铁业利润率降至2.86%,0,股票
日本组合AKB48新碟销量破纪录 首周卖近32万张,9,体育
行情第二阶段 结构性牛市大步向前,2,财经
担忧政策调控 基金狂减周期股,0,股票
刘晓松发内部邮件解释卸任A8音乐CEO原因,4,娱乐
美国大学发生枪击案 1名学生在书店中枪遇害,6,教育
广发核心精选15日起开通网上申购赎回等业务,0,科技
居民反映百米高楼属违建 城管局开750万元罚单,5,房产
职校被指借安排学生当保安赚工资差价牟利,5,教育
图文-[常规赛]76人88-92尼克斯,7,科技
上海在建楼倒覆事故7名责任人被批捕,1,社会
从群殴人民币到群殴美元,2,财经
谷歌拟建世界最大在线图书馆,6,科技
前11月地产国企利润大幅增长,1,股票
西班牙设计师发明喷罐面料 15分钟可喷制1件T恤,6,体育
李娜不知道自己赚多少钱 用老公信用卡为省钱,0,娱乐
社区休闲将成手机网络游戏趋势,8,科技
印度将加征20%铁矿石出口关税 或推高国内钢价,0,股票
2011 NYCC双人赛上海尽情绽放的Cosplay魂,8,科技
需求预期拉动类股强势 资金不见兔子不撒鹰,2,财经
周冬雨高考有信心 未进北电已被关锦鹏相中(图),9,教育
节前如何带钱回家 用好网银汇款省下血汗钱,0,科技
一天完成7张申请表 信用卡营销员自掏腰包送礼,0,体育
窃听丑闻不断发酵 默多克遭遇滑铁卢,4,财经
中国赴加拿大技术移民核准率创历史新低,6,科技
南非情侣结婚前发现系亲兄妹(图),6,社会
工行发行250亿可转债已获证监会核准 31日申购,2,财经
组图：“游戏主机化石”出土曝光,8,娱乐
澳大利亚民意调查是否引进18禁游戏,8,时政
EA承认不敌暴雪三年内欲实现300%增长,8,股票
日本财务相藤井裕久因健康原因有意辞职,2,时政
黄晓明周迅双双离巢 华谊股价涨跌尚不分明,9,股票
冰岛火山喷发将导致欧洲机票全线走高,2,时政
1名北约士兵在阿富汗东部身亡,6,社会
组图：美俄卫星相撞轨道示意图,6,娱乐
陈致中夫妇赴看守所探望陈水扁,6,娱乐
苹果iOS 4.2.1正式版越狱教程,4,游戏
小S确定主持第47届金马奖颁奖典礼 搭档蔡康永,9,体育
09欧美DotA奖金榜 AEON.ru荣登榜首,8,股票
美国男子持枪扫射致1死13伤被判监禁384年,6,社会
开发商推倒集资隔离墙,1,财经
英国宠物狗吞下重达10斤的12个胸罩(图),5,教育
港交所重新研究发展人民币期货,2,财经
广西糖价跳水近千元 预计在6000元吨企稳,0,科技
尚林艳夺冠为争一口气 证明自己心态没有问题,7,娱乐
英军情五处赴美调查俄美女间谍(图),3,时政
一块市中心土地闲置8年未被政府收回(组图),5,房产
平静透视学棋热：围棋广受追捧为哪般 定段万里挑一,7,娱乐
跳空缺口折射压力 技术魔咒有望化解,2,游戏
巧用新概念四册轻松突破新托福写作,3,游戏
空中网Q2净利260万美元同比下滑26%,8,科技
财富公馆11年财富人生高尔夫邀请赛圆满收杆,1,教育
烟草局前协管员称能低价买高档烟诈骗数百万,5,时政
微软正调查最新曝光IE零日攻击漏洞,4,游戏
美科学家首次将思想植入猴脑 成功解读简单讯息,4,教育
四季度大众投资意向更趋保守,0,股票
中交建委任刘起涛接替孟凤朝为总裁,2,时政
网络学院文凭生变 疑为二三本院校让路,4,教育
大张伟举办豹纹主题生日会 搞怪上阵为新碟庆功,9,体育
银行保险股早盘表现不佳,2,财经
Williams-Sonoma第一财季恢复盈利,2,游戏
证监会基金信息披露网站上线,4,财经
鸠山和麻生会谈讨论政权交接工作(图),6,社会
餐厅取名池堂房间内设淋浴器马桶,5,房产
花旗子公司寻求驳回投资者3.83亿美元索赔诉讼,2,科技
特快邮寄判决书5个月后到达致男子错失上诉期,5,时政
大兴CAGO寓所均价16000推3种特价房87平起,1,科技
2008年12月31日 交易提示,0,股票
风水师自爆行业利益链靠投机钻营结识官员挣钱,5,科技
中高端租赁量赶超买卖量,1,科技
杰克-吉伦哈尔6天换3女伴 美媒讥讽其“转型”,9,体育
市场不佳 多家公司推迟上市,4,股票
江铜愈跌愈急 CALL轮16179继续撤退,2,科技
科学家发现力气最大昆虫是屎壳郎(图),4,教育
美联储会议记录压砸美元,0,股票
1400：汉王上涨96%报82元,4,股票
刘炜公开谈和姚明关系已不可能像做队友时那样了,7,娱乐
网友发布韩乔生08奥运语录 爆笑解说很搞很喷饭,9,体育
贴吧同人频道上线 打造最大同人创作分享平台,4,财经
美国2名囚犯自制狱警制服成功越狱,5,时政
反恐精英Online恐怖静态电影系列二,8,科技
我国将逐步实行中等职业教育免费政策,6,教育
“香港先生”黄长发教法文恋上富商三姨太(图),9,教育
保险是种科学的制度安排不是空话,0,教育
鞍钢：4万亿刺激内需政策利好,2,财经
中美韩同步上线 看各国玩家副本风采,8,科技
研究称翼龙身体太重不擅长空中翱翔(图),4,时政
老牌MBA降低入学门槛 MBA是否开始贬值,3,娱乐
9月27日上市公司晚间公告速递,2,科技
民族风情公主驾到 网博会COS美妞欣赏,8,科技
价格四个月内经历过山车 游资短炒港地产股债券,2,房产
组图：微型静物模型亮相伯明翰博览会,6,娱乐
2008年度网络教育国家精品课程名单,3,科技
揭秘海南赌石交易：天价石头起拍价达2800万,0,房产
伦敦：春节庙会已经走出“中国城”(图),3,娱乐
路段积水1米多深 司机驾车驶入爬车顶求救(图),5,娱乐
德科学家怀疑美生命新发现 称缺乏研究数据,4,时政
朝鲜将禁止外汇在市面上流通,0,时政
大熊猫爬上悬崖被众农民工救下,5,股票
英国女王长外孙女将于7月30日完婚(图),6,社会
我国三大商品期货交易所携手跻身世界前20,0,科技
评论：范冰冰周迅李冰冰的2009年“谍战”,9,科技
13岁美国少年因游戏不顺而杀死妹妹,8,社会
科特迪瓦接近种族屠杀边缘 民宅被按部落标记号,6,体育
伊朗下月展示新款火箭和卫星,6,科技
滑盖音乐 索爱W395金色紫色版对比,4,游戏
价值1.7亿镑三叉戟竟吞下鸭蛋 葡萄牙称霸尚需1个伊布,7,科技
18日13时直播范伟居文沛《即日启程》发布会,9,科技
盗版《山楂树之恋》现身网络,4,游戏
澳公司买卖好友：Facebook阻止不了我们,4,股票
文化体制改革网游产业亟待增文化内涵,8,科技
寒门真难出贵子？透视农业大学农村生减少,3,娱乐
网络戏说：如果房价大跌,1,科技
广州首家青少年网瘾戒除基地成立,4,房产
调查：您认为校长推荐应选全才还是偏才,5,教育
姚明第一天以交大新生身份亮相校园 上了三门课,3,娱乐
港机场6月旅客量跌19% 货运量减13.4%,2,科技
胡可被英国华人报纸评为十大最受欢迎艺人(图),9,时政
温家宝：企业退休人员基本养老金今年再提高10%,6,科技
赖斯与经纪公司签约 将出书讲述外交生涯,6,股票
维达木桨存货维持至明年首季 下半年售价有跌势,2,科技
EA我们期望在2010年获得的空前成功,8,教育
葛优有恐飞症坐火车跑场子 一月行万里路,9,社会
纽约期铜价格跌至9周最低水平,2,财经
新政观察：中粮万科长阳半岛人气足价格有优势,1,教育
首个交易日市场很给力 2900压力仍不可小视,2,财经
江时学：中国需要让更多欧洲人了解西藏问题,6,教育
老鼠成群结队涌入德国国会大厦取暖,6,社会
王珉任辽宁省委书记 孙政才任吉林省委书记,6,娱乐
